Signature;reachable;found
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.json.JsonObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5PasswordAuthResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5PasswordAuthResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5PasswordAuthResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.buffer.PoolArena: void reallocate(io.netty.buffer.PooledByteBuf,int,boolean)>";0;1
"<io.netty.buffer.PoolArena: void reallocate(io.netty.buffer.PooledByteBuf,int,boolean)>";0;1
"<io.netty.buffer.PoolArena: void reallocate(io.netty.buffer.PooledByteBuf,int,boolean)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5InitialResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5InitialResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5InitialResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.http.websocketx.WebSocket08FrameDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.http.websocketx.WebSocket08FrameDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.http.websocketx.WebSocket08FrameDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.channel.ChannelOutboundBuffer: void clearNioBuffers()>";0;1
"<io.netty.channel.ChannelOutboundBuffer: void clearNioBuffers()>";0;1
"<io.netty.channel.ChannelOutboundBuffer: void clearNioBuffers()>";0;1
"<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)>";0;1
"<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)>";0;1
"<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)>";0;1
"<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)>";0;1
"<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)>";0;1
"<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)>";0;1
"<io.netty.handler.codec.compression.JdkZlibDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.compression.JdkZlibDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.compression.JdkZlibDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.compression.JdkZlibDecoder: boolean readGZIPFooter(io.netty.buffer.ByteBuf)>";0;1
"<io.netty.handler.codec.compression.JdkZlibDecoder: boolean readGZIPFooter(io.netty.buffer.ByteBuf)>";0;1
"<io.netty.handler.codec.compression.JdkZlibDecoder: boolean readGZIPFooter(io.netty.buffer.ByteBuf)>";0;1
"<io.netty.handler.codec.http.websocketx.WebSocketUtil$1: java.security.MessageDigest initialValue()>";0;1
"<io.netty.handler.ssl.util.FingerprintTrustManagerFactory$1: java.security.MessageDigest initialValue()>";0;1
"<org.bitcoinj.crypto.TrustStoreLoader$DefaultTrustStoreLoader: java.security.KeyStore loadIcsKeyStore()>";0;0
"<io.netty.handler.ssl.JdkSslEngine: void setEnabledCipherSuites(java.lang.String[])>";0;1
"<com.squareup.okhttp.OkHttpClient: javax.net.ssl.SSLSocketFactory getDefaultSSLSocketFactory()>";0;1
"<com.squareup.okhttp.OkHttpClient: javax.net.ssl.SSLSocketFactory getDefaultSSLSocketFactory()>";0;1
"<com.squareup.okhttp.OkHttpClient: javax.net.ssl.SSLSocketFactory getDefaultSSLSocketFactory()>";0;1
"<com.squareup.okhttp.OkHttpClient: javax.net.ssl.SSLSocketFactory getDefaultSSLSocketFactory()>";0;1
"<io.netty.handler.ssl.util.SelfSignedCertificate: void <init>(java.lang.String,java.security.SecureRandom,int,java.util.Date,java.util.Date)>";0;1
"<org.bitcoinj.crypto.PBKDF2SHA512: byte[] F(java.lang.String,java.lang.String,int,int)>";0;0
"<org.bitcoinj.crypto.PBKDF2SHA512: byte[] F(java.lang.String,java.lang.String,int,int)>";0;0
"<org.bitcoinj.crypto.PBKDF2SHA512: byte[] F(java.lang.String,java.lang.String,int,int)>";0;0
"<org.bitcoinj.crypto.PBKDF2SHA512: byte[] F(java.lang.String,java.lang.String,int,int)>";0;0
"<org.bitcoinj.crypto.PBKDF2SHA512: byte[] F(java.lang.String,java.lang.String,int,int)>";0;0
"<org.bitcoinj.crypto.PBKDF2SHA512: byte[] F(java.lang.String,java.lang.String,int,int)>";0;0
"<com.squareup.okhttp.internal.Util: okio.ByteString sha1(okio.ByteString)>";0;1
