Signature;reachable;found
"<io.netty.buffer.AbstractByteBuf: io.netty.buffer.ByteBuf setIndex(int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkIndex0(int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkIndex0(int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkIndex0(int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void ensureAccessible()>";0;1
"<io.netty.buffer.AbstractByteBuf: void ensureAccessible()>";0;1
"<io.netty.buffer.AbstractByteBuf: void ensureAccessible()>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkReadableBytes0(int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkReadableBytes0(int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkReadableBytes0(int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkSrcIndex(int,int,int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkSrcIndex(int,int,int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkSrcIndex(int,int,int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkDstIndex(int,int,int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkDstIndex(int,int,int,int)>";0;1
"<io.netty.buffer.AbstractByteBuf: void checkDstIndex(int,int,int,int)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrapNonAppData(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrapNonAppData(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrapNonAppData(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrapNonAppData(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrapNonAppData(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrapNonAppData(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: boolean unwrap(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.handler.ssl.SslHandler: boolean unwrap(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.handler.ssl.SslHandler: boolean unwrap(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.handler.ssl.SslHandler: boolean unwrap(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.handler.ssl.SslHandler: boolean unwrap(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.handler.ssl.SslHandler: boolean unwrap(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.ssl.SslHandler: void wrap(io.netty.channel.ChannelHandlerContext,boolean)>";0;1
"<io.netty.handler.codec.LengthFieldBasedFrameDecoder: java.lang.Object decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf)>";0;1
"<io.netty.handler.codec.LengthFieldBasedFrameDecoder: java.lang.Object decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf)>";0;1
"<io.netty.handler.codec.LengthFieldBasedFrameDecoder: java.lang.Object decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void getBytes(io.netty.buffer.AbstractByteBuf,long,int,byte[],int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void getBytes(io.netty.buffer.AbstractByteBuf,long,int,byte[],int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void getBytes(io.netty.buffer.AbstractByteBuf,long,int,byte[],int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void setBytes(io.netty.buffer.AbstractByteBuf,long,int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void setBytes(io.netty.buffer.AbstractByteBuf,long,int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void setBytes(io.netty.buffer.AbstractByteBuf,long,int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void getBytes(io.netty.buffer.AbstractByteBuf,long,int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void getBytes(io.netty.buffer.AbstractByteBuf,long,int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.UnsafeByteBufUtil: void getBytes(io.netty.buffer.AbstractByteBuf,long,int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.ByteBufUtil: java.lang.String decodeString(io.netty.buffer.ByteBuf,int,int,java.nio.charset.Charset)>";0;1
"<io.netty.buffer.ByteBufUtil: java.lang.String decodeString(io.netty.buffer.ByteBuf,int,int,java.nio.charset.Charset)>";0;1
"<io.netty.buffer.ByteBufUtil: java.lang.String decodeString(io.netty.buffer.ByteBuf,int,int,java.nio.charset.Charset)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5InitialRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5InitialRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5InitialRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5CommandResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5CommandResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
